baker_first_name,baker_last_name,series,episode,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result
Paul,Jagger,6,5,49,Prison governor,"Swansea, Wales",Carrot & Pecan Cake,Dessert Island Getaway,2,IN
Tamal,Ray,6,5,29,Trainee anaesthetist,Manchester,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,7,IN
Ugnė,Bubnaityte,6,5,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",6,OUT
Alvin,Magallanes,6,6,37,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,6,OUT
Flora,Shedden,6,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,2,IN
Ian,Cumming,6,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,3,IN
Mat,Riley,6,6,37,Fire fighter,London,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,1,STAR BAKER
Nadiya,Hussain,6,6,30,Full-time mother,Leeds / Luton,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,4,IN
Paul,Jagger,6,6,49,Prison governor,"Swansea, Wales",Christmas Frangipane Tart,Savoury and Sweet Bouchées,5,IN
Tamal,Ray,6,6,29,Trainee anaesthetist,Manchester,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,7,IN
Flora,Shedden,6,7,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",4,IN
Ian,Cumming,6,7,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Roadkill Pie,Victoria's Crown Charlotte Russe,5,IN
Mat,Riley,6,7,37,Fire fighter,London,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,6,OUT
Nadiya,Hussain,6,7,30,Full-time mother,Leeds / Luton,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,1,IN
Paul,Jagger,6,7,49,Prison governor,"Swansea, Wales",Not a Boaring Pie,Charlotte Rose,2,IN
Tamal,Ray,6,7,29,Trainee anaesthetist,Manchester,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",3,STAR BAKER
Flora,Shedden,6,8,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,3,IN
Ian,Cumming,6,8,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,2,IN
Nadiya,Hussain,6,8,30,Full-time mother,Leeds / Luton,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,1,STAR BAKER
Paul,Jagger,6,8,49,Prison governor,"Swansea, Wales",Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,5,OUT
Tamal,Ray,6,8,29,Trainee anaesthetist,Manchester,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,4,IN
Flora,Shedden,6,9,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Passion Fruit and Chocolate Tart,Cocoa Carousel,1,OUT
Ian,Cumming,6,9,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Chocolate and Bay Tart,Chocolate Well,3,IN
Nadiya,Hussain,6,9,30,Full-time mother,Leeds / Luton,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,4,STAR BAKER
Tamal,Ray,6,9,29,Trainee anaesthetist,Manchester,Chocolate New York Pie,Chocolate Bell Tower,2,IN
Ian,Cumming,6,10,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,2,Runner-up
Nadiya,Hussain,6,10,30,Full-time mother,Leeds / Luton,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,1,WINNER
Tamal,Ray,6,10,29,Trainee anaesthetist,Manchester,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,3,Runner-up
Andrew,Smyth,7,1,25,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,12,IN
Benjamina,Ebuehi,7,1,23,Teaching assistant,South London,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,6,IN
Candice,Brown,7,1,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",5,IN
Jane,Beedle,7,1,61,Garden designer,Beckenham,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,7,STAR BAKER
Kate,Barmby,7,1,37,Nurse,"Brooke, Norfolk",Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,4,IN
Lee,Banfield,7,1,67,Pastor,Bolton,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,11,OUT
Louise,Williams,7,1,46,Hairdresser,Cardiff,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,9,IN
Michael,Georgiou,7,1,20,Student,Durham,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,3,IN
Rav,Bansal,7,1,28,Student support,Erith,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,8,IN
Selasi,Gbormittah,7,1,30,Client service associate,London,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",1,IN
Tom,Gilliford,7,1,26,Project engagement manager,Rochdale,G&T Drizzle Cake,Black Forest Broken Mirror,2,IN
Val,Stones,7,1,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,10,IN
Andrew,Smyth,7,2,25,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,Punting in Cambridge,4,IN
Benjamina,Ebuehi,7,2,23,Teaching assistant,South London,Bouquet Biscuits,"New York, New York",3,IN
Candice,Brown,7,2,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,8,STAR BAKER
Jane,Beedle,7,2,61,Garden designer,Beckenham,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,2,IN
Kate,Barmby,7,2,37,Nurse,"Brooke, Norfolk","""A Biscuit for the Broads""","""I Promise I will do my best""",1,IN
Louise,Williams,7,2,46,Hairdresser,Cardiff,Baa Bara Brith Biscuits,Gingerbread Wedding,10,OUT
Michael,Georgiou,7,2,20,Student,Durham,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,9,IN
Rav,Bansal,7,2,28,Student support,Erith,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,6,IN
Selasi,Gbormittah,7,2,30,Client service associate,London,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,11,IN
Tom,Gilliford,7,2,26,Project engagement manager,Rochdale,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,7,IN
Val,Stones,7,2,66,"Semi-retired, Substitute teacher",Yeovil,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,5,IN
Andrew,Smyth,7,3,25,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,Braided Harvest Bread Basket,2,IN
Benjamina,Ebuehi,7,3,23,Teaching assistant,South London,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,6,IN
Candice,Brown,7,3,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,3,IN
Jane,Beedle,7,3,61,Garden designer,Beckenham,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,9,IN
Kate,Barmby,7,3,37,Nurse,"Brooke, Norfolk",Cobbled Loaf,The Corn Maiden,8,IN
Michael,Georgiou,7,3,20,Student,Durham,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,7,OUT
Rav,Bansal,7,3,28,Student support,Erith,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,10,IN
Selasi,Gbormittah,7,3,30,Client service associate,London,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,5,IN
Tom,Gilliford,7,3,26,Project engagement manager,Rochdale,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,4,STAR BAKER
Val,Stones,7,3,66,"Semi-retired, Substitute teacher",Yeovil,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",1,IN
Andrew,Smyth,7,4,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box,4,IN
Benjamina,Ebuehi,7,4,23,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,1,STAR BAKER
Candice,Brown,7,4,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,Two-Way Peanut Butter Churros,2,IN
Jane,Beedle,7,4,61,Garden designer,Beckenham,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,3,IN
Kate,Barmby,7,4,37,Nurse,"Brooke, Norfolk",Christmas Dinner Compromise,Hot Cross Bunny Churros,7,OUT
Rav,Bansal,7,4,28,Student support,Erith,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,9,IN
Selasi,Gbormittah,7,4,30,Client service associate,London,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,8,IN
Tom,Gilliford,7,4,26,Project engagement manager,Rochdale,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,5,IN
Val,Stones,7,4,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,6,IN
Andrew,Smyth,7,5,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,6,IN
Benjamina,Ebuehi,7,5,23,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,5,IN
Candice,Brown,7,5,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",2,STAR BAKER
Jane,Beedle,7,5,61,Garden designer,Beckenham,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",1,IN
Rav,Bansal,7,5,28,Student support,Erith,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,8,IN
Selasi,Gbormittah,7,5,30,Client service associate,London,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",3,IN
Tom,Gilliford,7,5,26,Project engagement manager,Rochdale,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,4,IN
Val,Stones,7,5,66,"Semi-retired, Substitute teacher",Yeovil,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",7,OUT
Andrew,Smyth,7,6,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,6,IN
Benjamina,Ebuehi,7,6,23,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,2,IN
Candice,Brown,7,6,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,5,IN
Jane,Beedle,7,6,61,Garden designer,Beckenham,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,4,IN
Rav,Bansal,7,6,28,Student support,Erith,Mandarin Margarita Meringue Pie,Blossom Cake,3,OUT
Selasi,Gbormittah,7,6,30,Client service associate,London,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,7,IN
Tom,Gilliford,7,6,26,Project engagement manager,Rochdale,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,1,STAR BAKER
Andrew,Smyth,7,7,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,1,STAR BAKER
Benjamina,Ebuehi,7,7,23,Teaching assistant,South London,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,3,IN
Candice,Brown,7,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,2,IN
Jane,Beedle,7,7,61,Garden designer,Beckenham,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",4,IN
Selasi,Gbormittah,7,7,30,Client service associate,London,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",6,IN
Tom,Gilliford,7,7,26,Project engagement manager,Rochdale,Millionaire's Roulade,Hipster Picnic,5,OUT
Andrew,Smyth,7,8,25,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,2,IN
Benjamina,Ebuehi,7,8,23,Teaching assistant,South London,Mexican Adventure,Tudor Garden,4,OUT
Candice,Brown,7,8,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Cheesy Cheeky Fish Pies,Peacock,1,STAR BAKER
Jane,Beedle,7,8,61,Garden designer,Beckenham,Tudor Rose Pies,Swans,5,IN
Selasi,Gbormittah,7,8,30,Client service associate,London,Bouquet of Flowers,Fruity Tudor Marchpane,3,IN
Andrew,Smyth,7,9,25,Aerospace engineer,"Derby / Holywood, County Down",Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,2,STAR BAKER
Candice,Brown,7,9,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,3,IN
Jane,Beedle,7,9,61,Garden designer,Beckenham,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,1,IN
Selasi,Gbormittah,7,9,30,Client service associate,London,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,4,OUT
Andrew,Smyth,7,10,25,Aerospace engineer,"Derby / Holywood, County Down",Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,1,Runner-up
Candice,Brown,7,10,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,2,WINNER
Jane,Beedle,7,10,61,Garden designer,Beckenham,"Red, White and Blue Meringue Crown",Family Favourites Feast,3,Runner-up
Chris,Geiger,8,1,50,Software developer,Bristol,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,12,IN
Flo,Atkins,8,1,71,Retired,Merseyside,Citrus Layer Cake,'One in a Melon' Cake,9,IN
James,Hillery,8,1,46,Banker,"Brentwood, Essex","Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,2,IN
Julia,Chernogorova,8,1,21,Aviation Broker,"Crawley, West Sussex",Courgette and Lemon Cake,'Russian Doll' Cake,3,IN
Kate,Lyon,8,1,29,Health and safety inspector,Merseyside,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,1,IN
Liam,Charles,8,1,19,Student,North London,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,8,IN
Peter,Abatan,8,1,52,IT programme manager,"Southend, Essex",Coconut Cake,'Bread on a Breadboard' Cake,10,OUT
Sophie,Faldo,8,1,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,5,IN
Stacey,Hart,8,1,42,Former school teacher,"Radlett, Hertfordshire",Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,11,IN
Steven,Carter-Bailey,8,1,34,Marketer,"Watford, Hertfordshire",Bonfire Night Cake,'A Baker's Lunch' Cake,6,STAR BAKER
Tom,Hetherington,8,1,29,Architect,Edinburgh,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,7,IN
Yan,Tsou,8,1,46,Laboratory research scientist,North London,Windfall Apple Crumble Cake,'Banana-ramen' Cake,4,IN
Chris,Geiger,8,2,50,Software developer,Bristol,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,11,OUT
Flo,Atkins,8,2,71,Retired,Merseyside,Gin Jam Butties,'Pick My Bones' Game,10,IN
James,Hillery,8,2,46,Banker,"Brentwood, Essex",Rhubarb and Custard Whirls,'Coppit' Game,3,IN
Julia,Chernogorova,8,2,21,Aviation Broker,"Crawley, West Sussex",Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,4,IN
Kate,Lyon,8,2,29,Health and safety inspector,Merseyside,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,8,IN
Liam,Charles,8,2,19,Student,North London,Coffee Malted Pecan Shorties,'Classroom Classics' Game,7,IN
Sophie,Faldo,8,2,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,2,IN
Stacey,Hart,8,2,42,Former school teacher,"Radlett, Hertfordshire",Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,9,IN
Steven,Carter-Bailey,8,2,34,Marketer,"Watford, Hertfordshire",Amarpressi Biscuits,'Check Bake' Game,6,STAR BAKER
Tom,Hetherington,8,2,29,Architect,Edinburgh,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,5,IN
Yan,Tsou,8,2,46,Laboratory research scientist,North London,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,1,IN
Flo,Atkins,8,3,71,Retired,Merseyside,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,7,OUT
James,Hillery,8,3,46,Banker,"Brentwood, Essex",Nordic Teacakes,'Owl in the Woods' Bread Sculpture,9,IN
Julia,Chernogorova,8,3,21,Aviation Broker,"Crawley, West Sussex",Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,2,STAR BAKER
Kate,Lyon,8,3,29,Health and safety inspector,Merseyside,Blueberry Buns,'Kraken' Bread Sculpture,10,IN
Liam,Charles,8,3,19,Student,North London,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,5,IN
Sophie,Faldo,8,3,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Tagine Teacakes,'Picnic Basket' Bread Sculpture,6,IN
Stacey,Hart,8,3,42,Former school teacher,"Radlett, Hertfordshire",Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,1,IN
Steven,Carter-Bailey,8,3,34,Marketer,"Watford, Hertfordshire",Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,3,IN
Tom,Hetherington,8,3,29,Architect,Edinburgh,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,4,IN
Yan,Tsou,8,3,46,Laboratory research scientist,North London,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,8,IN
James,Hillery,8,4,46,Banker,"Brentwood, Essex",'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,2,IN
Julia,Chernogorova,8,4,21,Aviation Broker,"Crawley, West Sussex",Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,9,IN
Kate,Lyon,8,4,29,Health and safety inspector,Merseyside,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,6,STAR BAKER
Liam,Charles,8,4,19,Student,North London,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,3,IN
Sophie,Faldo,8,4,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,4,IN
Stacey,Hart,8,4,42,Former school teacher,"Radlett, Hertfordshire",Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,1,IN
Steven,Carter-Bailey,8,4,34,Marketer,"Watford, Hertfordshire",Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,7,IN
Tom,Hetherington,8,4,29,Architect,Edinburgh,Stem Ginger Caramel Shortbreads,Hummingbird Cake,5,OUT
Yan,Tsou,8,4,46,Laboratory research scientist,North London,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,8,IN
James,Hillery,8,5,46,Banker,"Brentwood, Essex",Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,7,OUT
Julia,Chernogorova,8,5,21,Aviation Broker,"Crawley, West Sussex",Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,3,IN
Kate,Lyon,8,5,29,Health and safety inspector,Merseyside,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,8,IN
Liam,Charles,8,5,19,Student,North London,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,2,IN
Sophie,Faldo,8,5,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",1,STAR BAKER
Stacey,Hart,8,5,42,Former school teacher,"Radlett, Hertfordshire",Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,4,IN
Steven,Carter-Bailey,8,5,34,Marketer,"Watford, Hertfordshire",Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,5,IN
Yan,Tsou,8,5,46,Laboratory research scientist,North London,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,6,IN
Julia,Chernogorova,8,6,21,Aviation Broker,"Crawley, West Sussex",'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,7,OUT
Kate,Lyon,8,6,29,Health and safety inspector,Merseyside,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,5,IN
Liam,Charles,8,6,19,Student,North London,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,4,STAR BAKER
Sophie,Faldo,8,6,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,2,IN
Stacey,Hart,8,6,42,Former school teacher,"Radlett, Hertfordshire",'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,6,IN
Steven,Carter-Bailey,8,6,34,Marketer,"Watford, Hertfordshire",'Fleetwood Mac' Decorative Pies,Christmas Pie,3,IN
Yan,Tsou,8,6,46,Laboratory research scientist,North London,'πr2' Decorative Pies,Chequerboard Pie,1,IN
Kate,Lyon,8,7,29,Health and safety inspector,Merseyside,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,6,IN
Liam,Charles,8,7,19,Student,North London,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,2,IN
Sophie,Faldo,8,7,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,3,IN
Stacey,Hart,8,7,42,Former school teacher,"Radlett, Hertfordshire",My All Time Favourite Desserts,Pastry Surprise,4,IN
Steven,Carter-Bailey,8,7,34,Marketer,"Watford, Hertfordshire",Italian Style Cannoli,'Sicilian-style' Sfogliatelle,1,STAR BAKER
Yan,Tsou,8,7,46,Laboratory research scientist,North London,Cannoli Cocktails,Canadian-Style Sfogliatelle,5,OUT
Kate,Lyon,8,8,29,Health and safety inspector,Merseyside,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,2,IN
Liam,Charles,8,8,19,Student,North London,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,5,OUT
Sophie,Faldo,8,8,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,4,IN
Stacey,Hart,8,8,42,Former school teacher,"Radlett, Hertfordshire",Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,3,STAR BAKER
Steven,Carter-Bailey,8,8,34,Marketer,"Watford, Hertfordshire",'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,1,IN
Kate,Lyon,8,9,29,Health and safety inspector,Merseyside,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,4,IN
Sophie,Faldo,8,9,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,1,STAR BAKER
Stacey,Hart,8,9,42,Former school teacher,"Radlett, Hertfordshire",'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,2,OUT
Steven,Carter-Bailey,8,9,34,Marketer,"Watford, Hertfordshire",Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,3,IN
Kate,Lyon,8,10,29,Health and safety inspector,Merseyside,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",3,Runner-up
Sophie,Faldo,8,10,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,2,WINNER
Steven,Carter-Bailey,8,10,34,Marketer,"Watford, Hertfordshire","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,1,Runner-up
Alice,Fevronia,10,NA,28,Geography teacher,Essex,NA,NA,NA,NA
Amelia,LeBruin,10,NA,24,Fashion designer,Halifax,NA,NA,NA,NA
Antony,Amourdoux,9,NA,30,Banker,London,NA,NA,NA,NA
Briony,Williams,9,NA,33,Full-time parent,Bristol,NA,NA,NA,NA
Dan,Beasley-Harling,9,NA,36,Full-time parent,London,NA,NA,NA,NA
Dan,Chambers,10,NA,32,Support worker,Rotherham,NA,NA,NA,NA
David,Atherton,10,NA,36,International health adviser,Whitby,NA,NA,NA,NA
Helena,Garcia,10,NA,40,Online project manager,Leeds,NA,NA,NA,NA
Henry,Bird,10,NA,20,Student,Durham,NA,NA,NA,NA
